dataset_name,classifier_name,accuracy
sleepStage:7->18,InceptionMix,0.7844522968000001
ultrasoundMuscleContraction:subject3->subject5,InceptionRain,0.623
sportsActivities:p5->p6,VRADA,0.3596491228
ultrasoundMuscleContraction:subject3->subject5,VRADA,0.641
hhar:e->f,CoDATS,0.8691460055
wisdm:3->27,Inception,0.298245614
sleepStage:7->18,VRADA,0.4787985866
wisdm:21->31,InceptionCDAN,0.661971831
cwrBearing:2->0,InceptionCDAN,0.8529568460000001
cwrBearing:1->3,InceptionCDAN,0.8927038627
sleepStage:16->1,SASA,0.4774381368
sportsActivities:p5->p6,OTDA,0.5350877193
OnHWeq:OnHW_equations_R->OnHW_equations_L,Inception,0.48619957540000003
mfd:1->0,InceptionCDAN,0.6881243063
mfd:0->1,Inception,0.4894561598
har:9->18,OTDA,0.3363636364
ford:FordB->FordA,InceptionDANN,0.5159090909
sleepStage:16->1,InceptionRain,0.7292576419
ultrasoundMuscleContraction:subject1->subject8,InceptionRain,0.35012499999999996
wisdm:27->3,InceptionCDAN,0.7068965517
mfd:1->3,InceptionRain,0.9933407325
ptbXLecg:0->3,OTDA,0.41558441560000003
ford:FordA->FordB,InceptionRain,0.49382716050000003
wisdm:3->5,OTDA,0.4347826087
hhar:g->h,VRADA,0.8039702233
ptbXLecg:0->1,SASA,0.5846817691
mfd:1->2,InceptionRain,0.7991120977
sleepStage:0->11,OTDA,0.5183044316000001
har:9->18,Raincoat,0.7818181818000001
ultrasoundMuscleContraction:subject5->subject3,Inception,0.5109933775000001
miniTimeMatch:DK1->FR1,Inception,0.7111919612000001
sleepStage:7->18,OTDA,0.36042402830000003
wisdm:5->1,CoTMix,0.7916666667000001
har:12->16,SASA,0.5545454545
ultrasoundMuscleContraction:subject7->subject2,Inception,0.58
sleepStage:9->14,Inception,0.6797274276
mfd:1->3,InceptionDANN,0.9922308546
hhar:i->a,InceptionMix,0.6997319035
ptbXLecg:1->3,Inception,0.6233766234
sleepStage:0->11,InceptionMix,0.5394990366
hhar:e->f,Inception,0.7658402204
ultrasoundMuscleContraction:subject1->subject8,CoTMix,0.5333749999999999
mfd:0->3,SASA,0.4894561598
har:12->16,Inception,0.6090909091000001
ultrasoundMuscleContraction:subject5->subject4,SASA,0.47950000000000004
ptbXLecg:1->0,Inception,0.6777286136
OnHWeq:OnHW_equations_R->OnHW_equations_L,CoDATS,0.5833333333
sportsActivities:p1->p8,CoTMix,0.2850877193
cwrBearing:1->3,InceptionDANN,0.9044088958000001
sportsActivities:p4->p2,InceptionDANN,0.5
wisdm:3->5,Raincoat,0.7391304348000001
cwrBearing:2->0,InceptionMix,0.8502930208
ptbXLecg:1->3,InceptionDANN,0.6363636364
mfd:0->1,Raincoat,0.4539400666
wisdm:27->3,CoTMix,0.44827586210000003
OnHWeq:OnHW_equations_L->OnHW_equations_R,InceptionDANN,0.5262759606
cwrBearing:0->1,InceptionMix,0.9329365079
wisdm:7->30,InceptionCDAN,0.5121951220000001
cwrBearing:0->3,InceptionDANN,0.8337885291
ptbXLecg:0->2,Raincoat,0.5497382199
sleepStage:7->18,InceptionRain,0.7155477032
cwrBearing:3->0,Inception,0.7671816729000001
ultrasoundMuscleContraction:subject1->subject8,Raincoat,0.532
wisdm:3->5,InceptionMix,0.3260869565
sleepStage:7->18,CoTMix,0.7544169611
wisdm:7->30,InceptionDANN,0.7073170732
sportsActivities:p4->p5,Inception,0.6140350877
hhar:i->a,InceptionSASA,0.42359249330000004
miniTimeMatch:FR2->DK1,InceptionSASA,0.3537768538
har:6->23,InceptionMix,0.9017857143
wisdm:21->31,InceptionDANN,0.5070422535
sportsActivities:p5->p6,InceptionSASA,0.4342105263
ptbXLecg:0->2,InceptionCDAN,0.695026178
